year,state,crossing_years,positive_crossing_years
2017,MAINE,808,3.0
2017,MARYLAND,625,16.0
2017,MASSACHUSETTS,824,7.0
2017,MICHIGAN,4798,47.0
2017,MINNESOTA,4305,34.0
2017,MISSISSIPPI,2255,40.0
2017,MISSOURI,3388,25.0
2017,MONTANA,1421,19.0
2017,NEBRASKA,2946,18.0
2017,NEVADA,281,1.0
2017,NEW HAMPSHIRE,325,0.0
2017,NEW JERSEY,1556,30.0
2017,NEW MEXICO,728,10.0
2017,NEW YORK,2636,33.0
2017,NORTH CAROLINA,3915,34.0
2017,NORTH DAKOTA,3441,16.0
2017,OHIO,5676,62.0
2017,OKLAHOMA,3722,37.0
2017,OREGON,1797,19.0
2017,PENNSYLVANIA,3503,45.0
2017,RHODE ISLAND,68,0.0
2017,SOUTH CAROLINA,2614,33.0
2017,SOUTH DAKOTA,1895,13.0
2017,TENNESSEE,2748,40.0
2017,TEXAS,8964,174.0
2017,UTAH,765,6.0
2017,VERMONT,367,5.0
2017,VIRGINIA,1864,26.0
2017,WASHINGTON,2357,29.0
2017,WEST VIRGINIA,1317,19.0
2017,WISCONSIN,4010,40.0
2017,WYOMING,413,4.0
2018,ALABAMA,2741,65.0
2018,ALASKA,163,1.0
2018,ARIZONA,696,17.0
2018,ARKANSAS,2646,45.0
2018,CALIFORNIA,5721,148.0
2018,COLORADO,1756,23.0
2018,CONNECTICUT,359,2.0
2018,DELAWARE,271,3.0
2018,DISTRICT OF COLUMBIA,1,0.0
2018,FLORIDA,3652,78.0
2018,GEORGIA,5065,90.0
2018,HAWAII,8,0.0
2018,IDAHO,1245,10.0
2018,ILLINOIS,7687,81.0
2018,INDIANA,5548,129.0
2018,IOWA,4163,32.0
2018,KANSAS,5010,29.0
2018,KENTUCKY,2264,32.0
2018,LOUISIANA,2723,63.0
2018,MAINE,806,2.0
2018,MARYLAND,637,13.0
2018,MASSACHUSETTS,748,13.0
2018,MICHIGAN,4735,44.0
2018,MINNESOTA,4229,35.0
2018,MISSISSIPPI,2134,34.0
2018,MISSOURI,3395,36.0
2018,MONTANA,1420,5.0
2018,NEBRASKA,2850,32.0
2018,NEVADA,268,1.0
2018,NEW HAMPSHIRE,335,0.0
2018,NEW JERSEY,1530,24.0
2018,NEW MEXICO,729,6.0
2018,NEW YORK,2651,23.0
2018,NORTH CAROLINA,3844,40.0
2018,NORTH DAKOTA,3423,15.0
2018,OHIO,5659,62.0
2018,OKLAHOMA,3692,32.0
2018,OREGON,1802,12.0
2018,PENNSYLVANIA,3526,62.0
2018,RHODE ISLAND,68,0.0
2018,SOUTH CAROLINA,2618,38.0
2018,SOUTH DAKOTA,1896,8.0
2018,TENNESSEE,2747,39.0
2018,TEXAS,9099,172.0
2018,UTAH,769,22.0
2018,VERMONT,368,1.0
2018,VIRGINIA,1858,25.0
2018,WASHINGTON,2374,29.0
2018,WEST VIRGINIA,1331,14.0
2018,WISCONSIN,3986,32.0
2018,WYOMING,414,4.0
2019,ALABAMA,2730,65.0
2019,ALASKA,164,0.0
2019,ARIZONA,706,11.0
2019,ARKANSAS,2670,27.0
2019,CALIFORNIA,5775,138.0
2019,COLORADO,1773,26.0
2019,CONNECTICUT,352,6.0
2019,DELAWARE,268,6.0
2019,DISTRICT OF COLUMBIA,1,0.0
2019,FLORIDA,3661,105.0
2019,GEORGIA,5052,85.0
2019,HAWAII,8,0.0
2019,IDAHO,1187,13.0
2019,ILLINOIS,7689,89.0
2019,INDIANA,5513,104.0
2019,IOWA,4177,45.0
2019,KANSAS,4983,28.0
2019,KENTUCKY,2263,32.0
2019,LOUISIANA,2657,70.0
2019,MAINE,799,1.0
2019,MARYLAND,643,11.0
2019,MASSACHUSETTS,745,8.0
2019,MICHIGAN,4722,44.0
2019,MINNESOTA,4225,38.0
2019,MISSISSIPPI,2140,43.0
2019,MISSOURI,3378,30.0
2019,MONTANA,1383,9.0
2019,NEBRASKA,2873,25.0
2019,NEVADA,267,3.0
2019,NEW HAMPSHIRE,335,1.0
2019,NEW JERSEY,1515,29.0
2019,NEW MEXICO,734,7.0
2019,NEW YORK,2656,20.0
2019,NORTH CAROLINA,3823,44.0
2019,NORTH DAKOTA,3368,14.0
2019,OHIO,5654,67.0
2019,OKLAHOMA,3680,32.0
2019,OREGON,1801,12.0
2019,PENNSYLVANIA,3523,45.0
2019,RHODE ISLAND,61,0.0
2019,SOUTH CAROLINA,2620,50.0
2019,SOUTH DAKOTA,1895,11.0
2019,TENNESSEE,2763,42.0
2019,TEXAS,9115,187.0
2019,UTAH,764,12.0
2019,VERMONT,375,5.0
2019,VIRGINIA,1845,25.0
2019,WASHINGTON,2382,34.0
2019,WEST VIRGINIA,1331,7.0
2019,WISCONSIN,3971,42.0
2019,WYOMING,395,1.0
2020,ALABAMA,2740,69.0
2020,ALASKA,167,1.0
2020,ARIZONA,654,14.0
2020,ARKANSAS,2575,27.0
2020,CALIFORNIA,5762,115.0
2020,COLORADO,1775,19.0
2020,CONNECTICUT,356,1.0
2020,DELAWARE,268,3.0
2020,DISTRICT OF COLUMBIA,1,0.0
2020,FLORIDA,3652,71.0
2020,GEORGIA,5021,77.0
2020,HAWAII,8,0.0
2020,IDAHO,1215,21.0
2020,ILLINOIS,7816,81.0
2020,INDIANA,5461,80.0
2020,IOWA,4157,24.0
2020,KANSAS,5047,27.0
2020,KENTUCKY,2221,19.0
2020,LOUISIANA,2727,60.0
2020,MAINE,767,4.0
2020,MARYLAND,643,16.0
2020,MASSACHUSETTS,722,5.0
2020,MICHIGAN,4721,31.0
2020,MINNESOTA,4272,30.0
2020,MISSISSIPPI,2126,28.0
2020,MISSOURI,3349,32.0
2020,MONTANA,1389,7.0
2020,NEBRASKA,2856,27.0
2020,NEVADA,272,0.0
2020,NEW HAMPSHIRE,339,0.0
2020,NEW JERSEY,1536,28.0
2020,NEW MEXICO,734,9.0
2020,NEW YORK,2669,22.0
2020,NORTH CAROLINA,3816,39.0
2020,NORTH DAKOTA,3333,9.0
2020,OHIO,5663,63.0
2020,OKLAHOMA,3677,33.0
2020,OREGON,1799,13.0
2020,PENNSYLVANIA,3541,36.0
2020,RHODE ISLAND,58,0.0
2020,SOUTH CAROLINA,2617,28.0
2020,SOUTH DAKOTA,1892,18.0
2020,TENNESSEE,2746,39.0
2020,TEXAS,9169,141.0
2020,UTAH,781,11.0
2020,VERMONT,373,0.0
2020,VIRGINIA,1885,16.0
2020,WASHINGTON,2336,28.0
2020,WEST VIRGINIA,1316,10.0
2020,WISCONSIN,3975,35.0
2020,WYOMING,400,1.0
2021,ALABAMA,2725,66.0
2021,ALASKA,161,0.0
2021,ARIZONA,686,16.0
2021,ARKANSAS,2457,35.0
2021,CALIFORNIA,5654,132.0
2021,COLORADO,1759,20.0
2021,CONNECTICUT,357,4.0
2021,DELAWARE,267,2.0
2021,DISTRICT OF COLUMBIA,1,0.0
2021,FLORIDA,3660,69.0
2021,GEORGIA,5000,101.0
2021,HAWAII,8,0.0
2021,IDAHO,1203,21.0
2021,ILLINOIS,7782,100.0
2021,INDIANA,5448,100.0
2021,IOWA,4162,38.0
2021,KANSAS,5028,32.0
2021,KENTUCKY,2150,35.0
2021,LOUISIANA,2640,51.0
2021,MAINE,769,2.0
2021,MARYLAND,651,10.0
2021,MASSACHUSETTS,743,6.0
2021,MICHIGAN,4721,53.0
2021,MINNESOTA,4229,30.0
2021,MISSISSIPPI,2141,25.0
2021,MISSOURI,3261,36.0
2021,MONTANA,1372,13.0
2021,NEBRASKA,2851,36.0
2021,NEVADA,260,0.0
2021,NEW HAMPSHIRE,340,0.0
2021,NEW JERSEY,1440,22.0
2021,NEW MEXICO,727,4.0
2021,NEW YORK,2668,22.0
2021,NORTH CAROLINA,3813,36.0
2021,NORTH DAKOTA,3268,11.0
2021,OHIO,5657,50.0
2021,OKLAHOMA,3428,36.0
2021,OREGON,1803,13.0
2021,PENNSYLVANIA,3567,40.0
2021,RHODE ISLAND,58,0.0
2021,SOUTH CAROLINA,2626,42.0
2021,SOUTH DAKOTA,1874,8.0
2021,TENNESSEE,2735,47.0
2021,TEXAS,9152,182.0
2021,UTAH,701,11.0
2021,VERMONT,372,3.0
2021,VIRGINIA,1838,32.0
2021,WASHINGTON,2243,21.0
2021,WEST VIRGINIA,1316,11.0
2021,WISCONSIN,3977,38.0
2021,WYOMING,398,0.0
2022,ALABAMA,2720,71.0
2022,ALASKA,161,1.0
2022,ARIZONA,686,16.0
2022,ARKANSAS,2447,35.0
2022,CALIFORNIA,5636,129.0
2022,COLORADO,1741,18.0
2022,CONNECTICUT,357,5.0
2022,DELAWARE,267,3.0
2022,DISTRICT OF COLUMBIA,1,0.0
2022,FLORIDA,3657,95.0
2022,GEORGIA,5010,79.0
2022,HAWAII,13,0.0
2022,IDAHO,1179,23.0
2022,ILLINOIS,7455,117.0
2022,INDIANA,5509,88.0
2022,IOWA,4137,48.0
2022,KANSAS,5004,32.0
2022,KENTUCKY,2147,28.0
2022,LOUISIANA,2634,69.0
2022,MAINE,774,3.0
2022,MARYLAND,646,15.0
2022,MASSACHUSETTS,736,17.0
2022,MICHIGAN,4669,51.0
2022,MINNESOTA,4183,31.0
2022,MISSISSIPPI,2104,30.0
2022,MISSOURI,3264,31.0
2022,MONTANA,1384,7.0
2022,NEBRASKA,2839,37.0
2022,NEVADA,235,1.0
2022,NEW HAMPSHIRE,340,0.0
2022,NEW JERSEY,1341,21.0
2022,NEW MEXICO,734,11.0
2022,NEW YORK,2665,30.0
2022,NORTH CAROLINA,3796,48.0
2022,NORTH DAKOTA,3267,20.0
2022,OHIO,5625,63.0
2022,OKLAHOMA,3555,37.0
2022,OREGON,1832,13.0
2022,PENNSYLVANIA,3586,46.0
2022,RHODE ISLAND,59,0.0
2022,SOUTH CAROLINA,2617,46.0
2022,SOUTH DAKOTA,1881,11.0
2022,TENNESSEE,2741,41.0
2022,TEXAS,9097,195.0
2022,UTAH,779,8.0
2022,VERMONT,377,1.0
2022,VIRGINIA,1838,20.0
2022,WASHINGTON,2164,25.0
2022,WEST VIRGINIA,1312,12.0
2022,WISCONSIN,3971,35.0
2022,WYOMING,390,2.0
2023,ALABAMA,2719,72.0
2023,ALASKA,162,4.0
2023,ARIZONA,683,16.0
2023,ARKANSAS,2452,48.0
2023,CALIFORNIA,5474,136.0
2023,COLORADO,1745,22.0
2023,CONNECTICUT,356,3.0
2023,DELAWARE,267,2.0
2023,DISTRICT OF COLUMBIA,1,0.0
2023,FLORIDA,3671,96.0
2023,GEORGIA,5029,107.0
2023,HAWAII,13,0.0
2023,IDAHO,1155,25.0
2023,ILLINOIS,7455,83.0
2023,INDIANA,5464,100.0
2023,IOWA,4099,35.0
2023,KANSAS,4995,35.0
2023,KENTUCKY,2175,32.0
2023,LOUISIANA,2507,52.0
2023,MAINE,768,4.0
2023,MARYLAND,651,10.0
2023,MASSACHUSETTS,740,16.0
2023,MICHIGAN,4672,48.0
2023,MINNESOTA,4010,24.0
2023,MISSISSIPPI,1861,23.0
2023,MISSOURI,3279,24.0
2023,MONTANA,1371,10.0
2023,NEBRASKA,2833,33.0
2023,NEVADA,240,4.0
2023,NEW HAMPSHIRE,339,0.0
2023,NEW JERSEY,1325,25.0
2023,NEW MEXICO,719,6.0
2023,NEW YORK,2659,20.0
2023,NORTH CAROLINA,3782,33.0
2023,NORTH DAKOTA,3248,16.0
2023,OHIO,5611,74.0
2023,OKLAHOMA,3579,31.0
2023,OREGON,1859,9.0
2023,PENNSYLVANIA,3596,41.0
2023,RHODE ISLAND,63,0.0
2023,SOUTH CAROLINA,2577,53.0
2023,SOUTH DAKOTA,1874,18.0
2023,TENNESSEE,2695,45.0
2023,TEXAS,9170,183.0
2023,UTAH,780,15.0
2023,VERMONT,379,1.0
2023,VIRGINIA,1842,24.0
2023,WASHINGTON,2082,21.0
2023,WEST VIRGINIA,1337,15.0
2023,WISCONSIN,3973,29.0
2023,WYOMING,389,0.0
2024,ALABAMA,2713,66.0
2024,ALASKA,162,1.0
2024,ARIZONA,686,20.0
2024,ARKANSAS,2443,41.0
2024,CALIFORNIA,5426,151.0
2024,COLORADO,1741,23.0
2024,CONNECTICUT,354,5.0
2024,DELAWARE,269,3.0
2024,DISTRICT OF COLUMBIA,1,0.0
2024,FLORIDA,3664,103.0
2024,GEORGIA,5027,82.0
2024,HAWAII,13,0.0
2024,IDAHO,1174,19.0
2024,ILLINOIS,7789,80.0
2024,INDIANA,5464,102.0
2024,IOWA,4128,39.0
2024,KANSAS,5002,25.0
2024,KENTUCKY,2167,33.0
2024,LOUISIANA,2656,59.0
2024,MAINE,767,4.0
2024,MARYLAND,664,6.0
2024,MASSACHUSETTS,736,12.0
2024,MICHIGAN,4668,46.0
2024,MINNESOTA,4003,17.0
2024,MISSISSIPPI,2132,27.0
2024,MISSOURI,3289,27.0
2024,MONTANA,1374,11.0
2024,NEBRASKA,2835,32.0
2024,NEVADA,280,3.0
2024,NEW HAMPSHIRE,340,0.0
2024,NEW JERSEY,1377,26.0
2024,NEW MEXICO,719,20.0
2024,NEW YORK,2653,26.0
2024,NORTH CAROLINA,3693,39.0
2024,NORTH DAKOTA,3265,9.0
2024,OHIO,5605,67.0
2024,OKLAHOMA,3588,26.0
2024,OREGON,1853,17.0
2024,PENNSYLVANIA,3610,42.0
2024,RHODE ISLAND,63,0.0
2024,SOUTH CAROLINA,2565,51.0
2024,SOUTH DAKOTA,1873,10.0
2024,TENNESSEE,2688,53.0
2024,TEXAS,9150,207.0
2024,UTAH,761,13.0
2024,VERMONT,379,0.0
2024,VIRGINIA,1817,28.0
2024,WASHINGTON,2141,32.0
2024,WEST VIRGINIA,1336,10.0
2024,WISCONSIN,3956,30.0
2024,WYOMING,386,0.0
2025,ALABAMA,2721,76.0
2025,ALASKA,162,0.0
2025,ARIZONA,692,16.0
2025,ARKANSAS,2449,39.0
2025,CALIFORNIA,5434,137.0
2025,COLORADO,1749,28.0
2025,CONNECTICUT,351,1.0
2025,DELAWARE,269,5.0
2025,DISTRICT OF COLUMBIA,1,0.0
2025,FLORIDA,3669,108.0
2025,GEORGIA,5033,75.0
2025,HAWAII,13,0.0
2025,IDAHO,1172,24.0
2025,ILLINOIS,7787,111.0
2025,INDIANA,5442,102.0
2025,IOWA,4165,36.0
2025,KANSAS,5065,34.0
2025,KENTUCKY,2181,33.0
2025,LOUISIANA,2627,54.0
2025,MAINE,765,7.0
2025,MARYLAND,666,15.0
2025,MASSACHUSETTS,805,19.0
2025,MICHIGAN,4663,38.0
2025,MINNESOTA,4165,19.0
2025,MISSISSIPPI,2052,26.0
2025,MISSOURI,3282,29.0
2025,MONTANA,1335,8.0
2025,NEBRASKA,2861,30.0
2025,NEVADA,276,3.0
2025,NEW HAMPSHIRE,340,2.0
2025,NEW JERSEY,1380,31.0
2025,NEW MEXICO,723,15.0
2025,NEW YORK,2657,29.0
2025,NORTH CAROLINA,3671,40.0
2025,NORTH DAKOTA,3270,12.0
2025,OHIO,5584,58.0
2025,OKLAHOMA,3586,46.0
2025,OREGON,1871,12.0
2025,PENNSYLVANIA,3595,37.0
2025,RHODE ISLAND,32,0.0
2025,SOUTH CAROLINA,2568,40.0
2025,SOUTH DAKOTA,1876,9.0
2025,TENNESSEE,2684,43.0
2025,TEXAS,9153,194.0
2025,UTAH,758,19.0
2025,VERMONT,378,3.0
2025,VIRGINIA,1827,23.0
2025,WASHINGTON,2156,31.0
2025,WEST VIRGINIA,1336,9.0
2025,WISCONSIN,3958,28.0
2025,WYOMING,328,1.0
